"You can export then import <a href=""%s"">your price ranges</a> during this modification, the rates remain the same.","You can export then import <a href=""%s"">your price ranges</a> during this modification, the rates remain the same."
"Sending service for Austria","Sending service for Austria"
"Sending service for Germany","Sending service for Germany"
"Sending service for Italy","Sending service for Italy"
"Sending service for Luxembourg","Sending service for Luxembourg"
"If cart weight is higher than 20 kg, only post office relays will be available.","If cart weight is higher than 20 kg, only post office relays will be available."
"Calculate shipping cost from the cart price before applying coupons","Calculate shipping cost from the cart price before applying coupons"
"If enabled, the shipping cost will be calculated based on the cart price before the coupons are applied.","If enabled, the shipping cost will be calculated based on the cart price before the coupons are applied."
"The User Name of the parent account, if you are using an advanced Colissimo user or to add customs documents.","The User Name of the parent account, if you are using an advanced Colissimo user or to add customs documents."
"Colissimo account","Colissimo account"
"Connection type","Connection type"
"Choose how you want to connect to Colissimo services.","Choose how you want to connect to Colissimo services."
"Web services application key","Web services application key"
"An API key is required to get relay points","An API key is required to get relay points"
"Login and password required to get relay points","Login and password required to get relay points"
"User name","User name"
"Set secured code during delivery","Set secured code during delivery"
"To benefit from the secured code during delivery, you must contact your Colissimo advisor and they will activate it for you. This option will be visible in your Colissimo Box enterprise space.","To benefit from the secured code during delivery, you must contact your Colissimo advisor and they will activate it for you. This option will be visible in your Colissimo Box enterprise space."
"Activate blocking code","Activate blocking code"
"The client will receive a code that they will need to give to the delivery man to receive their parcel.","The client will receive a code that they will need to give to the delivery man to receive their parcel."
"Save blocking code status","Save blocking code status"
"Outward labels","Outward labels"
"Secured shipping","Secured shipping"
"This parcel will be delivered via a secure service requiring a code. The code will be sent to the customer by email the day before delivery or by SMS on the morning of delivery, and must be given to the delivery person in order to receive the parcel. You can deactivate this option if you do not want secure delivery using a code.","This parcel will be delivered via a secure service requiring a code. The code will be sent to the customer by email the day before delivery or by SMS on the morning of delivery, and must be given to the delivery person in order to receive the parcel. You can deactivate this option if you do not want secure delivery using a code."
"Please note: If you have not provided the recipient's email address and telephone number, the code cannot be sent to the recipient and will block delivery of the parcel.","Please note: If you have not provided the recipient's email address and telephone number, the code cannot be sent to the recipient and will block delivery of the parcel."
"Services settings","Services settings"
"Choose %s best matching your needs.","Choose %s best matching your needs."
"the contract","the contract"
"Minimum order value for the secured code","Minimum order value for the secured code"
"Maximum order value for the secured code","Maximum order value for the secured code"
"The secured code will only be activated for orders over the given value.","The secured code will only be activated for orders over the given value."
"The secured code will only be activated for orders under the given value. Keep empty to disable this limitation.","The secured code will only be activated for orders under the given value. Keep empty to disable this limitation."
"Number of days during which the customers can download the return label","Number of days during which the customers can download the return label"
"Choose the products to return","Choose the products to return"
"Select all products","Select all products"
"Please select at least one product.","Please select at least one product."
"Generate a QR Code that your customers can scan at the post office to print a label. This format is used to secure the return parcel. This option requires activation of the service in your Colissimo customer area.","Generate a QR Code that your customers can scan at the post office to print a label. This format is used to secure the return parcel. This option requires activation of the service in your Colissimo customer area."
"Activate service","Activate service"
"Quantity to return exceeding quantity ordered","Quantity to return exceeding quantity ordered"
"Activate secured return","Activate secured return"
"Return products","Return products"
"Shipping labels have been generated.","Shipping labels have been generated."
"Return from a post office","Return from a post office"
"Shipment Date","Shipment Date"
"Your secured code for the return label %s has been generated.","Your secured code for the return label %s has been generated."
"If the secured return is enabled, only your customers will be able to generate return labels.","If the secured return is enabled, only your customers will be able to generate return labels."
"You cannot generate return labels while the secured return is active, only customers can generate them from their account.","You cannot generate return labels while the secured return is active, only customers can generate them from their account."
"No labels found.","No labels found."
"HS code attribute","HS code attribute"
"Choose the product attribute containing the HS code to use in customs declaration.","Choose the product attribute containing the HS code to use in customs declaration."
"Colissimo attribute","Colissimo attribute"
"Extra cost for French overseas","Extra cost for French overseas"
"Only Post offices","Only Post offices"
"All relays","All relays"
"Only Pickup points","Only Pickup points"
"Only Pickup partner stores","Only Pickup partner stores"
"Only Post offices and Pickup partner stores","Only Post offices and Pickup partner stores"
"All relays without Pickup lockers","All relays without Pickup lockers"
"All relays without Neighbor-relays Pickme","All relays without Neighbor-relays Pickme"
"Types of displayed relays","Types of displayed relays"
"Colissimo Box / Labels and packagings","Colissimo Box / Labels and packagings"
"For your postage needs, order your labels in rolls or boxes directly from your dedicated space %s, and enjoy the best prices and quality standards on the market.","For your postage needs, order your labels in rolls or boxes directly from your dedicated space %s, and enjoy the best prices and quality standards on the market."
"Your contract information","Your contract information"
"Contract type:","Contract type:"
"Return in mailbox option:","Return in mailbox option:"
"Return in post office option:","Return in post office option:"
"Secured return option:","Secured return option:"
"Secured shipping option:","Secured shipping option:"
"Out-of-home contract type:","Out-of-home contract type:"
"Pickup neighbor-relay option:","Pickup neighbor-relay option:"
"Estimated shipping date option:","Estimated shipping date option:"
"Activated","Activated"
"Deactivated","Deactivated"
"No account information available.","No account information available."
"Product categories","Product categories"
"All categories","All categories"
"EORI number","EORI number"
"United Kingdom EORI number","United Kingdom EORI number"
"EORI number for delivery to United Kingdom","EORI number for delivery to United Kingdom"
"Your label %s has been generated.","Your label %s has been generated."
"How to return your parcel?","How to return your parcel?"
"Pack your products.","Pack your products."
"Print your label and stick it on your parcel.","Print your label and stick it on your parcel."
"Drop off your parcel at the post office of your choice:","Drop off your parcel at the post office of your choice:"
"Track your parcel shipment on %s","Track your parcel shipment on %s"
"Documentation","Documentation"
"Your Colissimo deposit places:","Your Colissimo deposit places:"
"Mimosa option:","Mimosa option:"
"Sending service for Belgium","Sending service for Belgium"
"Download FR","Download FR"
"Download EN","Download EN"
"None","None"
"Category A - CLP hazardous product","Category A - CLP hazardous product"
"Category B - ADR/GPE 2 hazardous product","Category B - ADR/GPE 2 hazardous product"
"Category C - ADR/GPE 3 hazardous product","Category C - ADR/GPE 3 hazardous product"
"Category D - Cosmetic hazardous product","Category D - Cosmetic hazardous product"
"Category E - Other derogated sensitive product","Category E - Other derogated sensitive product"
"Colissimo hazmat category","Colissimo hazmat category"
"Default Colissimo hazmat category","Default Colissimo hazmat category"
"Add the extra cost to shipping price","Add the extra cost to shipping price"
"The clients will pay the extra cost for hazardous materials along with the shipping price.","The clients will pay the extra cost for hazardous materials along with the shipping price."
"The hazmat option lets you specify which parcel contains hazardous materials, ensuring that your goods are protected and safe during all the shipment.","The hazmat option lets you specify which parcel contains hazardous materials, ensuring that your goods are protected and safe during all the shipment."
"There are a total of 5 categories of hazardous materials that can be specified on your products and/or product categories. The categories are as follows:","There are a total of 5 categories of hazardous materials that can be specified on your products and/or product categories. The categories are as follows:"
"Category","Category"
"Maximum quantity per parcel","Maximum quantity per parcel"
"Extra cost","Extra cost"
"Hazardous materials are not allowed for return parcels.","Hazardous materials are not allowed for return parcels."
"Hazardous materials %1$s exceed the maximum allowed weight: %2$d/%3$dg.","Hazardous materials %1$s exceed the maximum allowed weight: %2$d/%3$dg."
"The total amount of hazardous materials exceeds the maximum allowed weight of %dg.","The total amount of hazardous materials exceeds the maximum allowed weight of %dg."
"Please ship this order in multiple parcels.","Please ship this order in multiple parcels."
"Hazardous materials feature:","Hazardous materials feature:"
"Hazardous materials","Hazardous materials"
"United States EORI number","United States EORI number"
"EORI number for delivery to United States","EORI number for delivery to United States"
"MID code for USA","MID code for USA"
"The MID code is used by the USA customs to track where a product comes from. It is required and can be found by following %1.","The MID code is used by the USA customs to track where a product comes from. It is required and can be found by following <a href=""https://www.fedex.com/en-fr/customer-support/faq/customs/customs-codes/how-to-generate-mid-code.html"" target=""_blank"">the Fedex guide</a>."
"Checkout page","Checkout page"
"Default","Default"
"Text size","Text size"
"Text font","Text font"
"Text color","Text color"
"Text to display","Text to display"
"Please include {date} in your text where the date should be shown.","Please include {date} in your text where the date should be shown."
"Date format","Date format"
"Cut Off hours","Cut Off hours"
"Deposit location","Deposit location"
"Select the location used to deposit your parcels.","Select the location used to deposit your parcels."
"Display the expected delivery date","Display the expected delivery date"
"Choose to add the expected delivery date below the method name in the checkout.","Choose to add the expected delivery date below the method name in the checkout."
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"
"January","January"
"February","February"
"March","March"
"April","April"
"May","May"
"June","June"
"July","July"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"
"l, F j","l, F j"
"F j","F j"
"M j","M j"
"Delivery expected on {date}","Delivery expected on {date}"
"Weekly Schedule","Weekly Schedule"
"Exceptions","Exceptions"
"Day","Day"
"Add Exception","Add Exception"
"Cutt Off times for orders processing","Cutt Off times for orders processing"
"No shipment this day","No shipment this day"
"The login/password connexion type will be removed during 2026 in favor of application key authentication, to increase the security of your account. To avoid any interruption in your deliveries, make sure to generate an application key from the edit page of your %s account then enter it in the ""General configuration"" section of the advanced Colissimo settings.","The login/password connexion type will be removed during 2026 in favor of application key authentication, to increase the security of your account. To avoid any interruption in your deliveries, make sure to generate an application key from the edit page of your %s account then enter it in the ""General configuration"" section of the advanced Colissimo settings."
"Hazardous materials are not allowed outside France.","Hazardous materials are not allowed outside France."
